"","Region.x","Population","Area..sq..mi..","Pop..Density..per.sq..mi..","Coastline..coast.area.ratio.","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Arable....","Crops....","Other....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","country.x","country.y","unemployment_percentage","CPI.Rank","Country.Code","Region.y","Corruption.Perceptions.Index..CPI.","Standard.Error","Lower.Confidence.Interval.x","Upper.Confidence.Interval.x","World.Bank.CPIA","World.Economic.Forum.EOS","Global.Insight.Country.Risk.Ratings","Bertelsmann.Foundation.Transformation.Index","African.Development.Bank.CPIA","IMD.World.Competitiveness.Yearbook","Bertelsmann.Foundation.Sustainable.Governance.Index","World.Justice.Project.Rule.of.Law.Index","PRS.International.Country.Risk.Guide","Varities.of.Democracy.Project","Economist.Intelligence.Unit.Country.Ratings","Freedom.House.Nations.in.Transit.Ratings","PERC.Asia.Risk.Guide","Sources","country.x1","Region","Happiness.Rank","Happiness.Score","Lower.Confidence.Interval.y","Upper.Confidence.Interval.y","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","country.y1"
"149","SUB-SAHARAN AFRICA                 ",2044147,825418,"2,5","0,19","0","48,98",7200,"84,0","62,6","0,99","0","99,01","1","24,32","18,86","0,097","0,315","0,588","Namibia ","Namibia",28.1,53,"NAM","Sub-Saharan Africa",52,2.03,49,55,NA,49,59,49,NA,NA,NA,NA,50,NA,54,NA,NA,5,"Namibia","Sub-Saharan Africa",113,4.574,4.374,4.774,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,"Namibia"
"150","OCEANIA                            ",13287,21,"632,7","142,86","0","9,95",5000,"","143,0","0","0","100","2","24,76","6,7","","","","Nauru ","Nauru",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","ASIA (EX. NEAR EAST)         ",28287147,147181,"192,2","0,00","0","66,98",1400,"45,2","15,9","21,68","0,64","77,68","","30,98","9,31","0,38","0,21","0,41","Nepal ","Nepal",3.3,131,"NPL","Asia Pacific",29,2.33,25,33,35,26,34,24,NA,NA,NA,31,NA,21,NA,NA,NA,6,"Nepal","Southern Asia",107,4.793,4.698,4.888,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,"Nepal"
"152","WESTERN EUROPE                     ",16491461,41526,"397,1","1,09","2,91","5,04",28600,"99,0","460,8","26,71","0,97","72,32","3","10,9","8,68","0,021","0,244","0,736","Netherlands ","Netherlands",5.1,8,"NLD","Europe and Central Asia",83,2.32,79,87,NA,82,83,NA,NA,89,71,82,85,NA,90,NA,NA,7,"Netherlands","Western Europe",7,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,"Netherlands"
"153","LATIN AMER. & CARIB    ",221736,960,"231,0","37,92","-0,41","10,03",11400,"96,7","365,3","10","0","90","2","14,78","6,45","0,01","0,15","0,84","Netherlands Antilles ","Netherlands",5.1,8,"NLD","Europe and Central Asia",83,2.32,79,87,NA,82,83,NA,NA,89,71,82,85,NA,90,NA,NA,7,"Netherlands","Western Europe",7,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,"Netherlands"
"154","OCEANIA                            ",219246,19060,"11,5","11,83","0","7,72",15000,"91,0","252,2","0,38","0,33","99,29","2","18,11","5,69","0,15","0,088","0,762","New Caledonia ","New Caledonia",14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","OCEANIA                            ",4076140,268680,"15,2","5,63","4,05","5,85",21600,"99,0","441,7","5,6","6,99","87,41","3","13,76","7,53","0,043","0,273","0,684","New Zealand ","New Zealand",4.9,1,"NZL","Asia Pacific",90,2.56,86,94,NA,90,83,NA,NA,95,99,79,93,NA,90,NA,NA,7,"New Zealand","Australia and New Zealand",8,7.334,7.264,7.404,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,"New Zealand"
"156","LATIN AMER. & CARIB    ",5570129,129494,"43,0","0,70","-1,22","29,11",2300,"67,5","39,7","15,94","1,94","82,12","2","24,51","4,45","0,165","0,275","0,56","Nicaragua ","Nicaragua",6.5,145,"NIC","Americas",26,1.98,23,29,35,28,22,28,NA,NA,NA,26,24,NA,19,NA,NA,7,"Nicaragua","Latin America and Caribbean",48,5.992,5.877,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,"Nicaragua"
"157","SUB-SAHARAN AFRICA                 ",12525094,1267000,"9,9","0,00","-0,67","121,69",800,"17,6","1,9","3,54","0,01","96,45","1","50,73","20,91","0,39","0,17","0,44","Niger ","Niger",2.6,101,"NER","Sub-Saharan Africa",35,3.25,29,40,35,NA,34,36,44,NA,NA,NA,24,NA,NA,NA,NA,5,"Niger","Sub-Saharan Africa",142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,"Niger"
"158","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Niger",2.6,101,"NER","Sub-Saharan Africa",35,3.25,29,40,35,NA,34,36,44,NA,NA,NA,24,NA,NA,NA,NA,5,"Niger","Sub-Saharan Africa",103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,"Nigeria"
"159","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Niger",2.6,101,"NER","Sub-Saharan Africa",35,3.25,29,40,35,NA,34,36,44,NA,NA,NA,24,NA,NA,NA,NA,5,"Niger","Sub-Saharan Africa",142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,"Niger"
"160","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Niger",2.6,136,"NGA","Sub-Saharan Africa",28,1.98,24,31,35,20,22,28,32,NA,NA,26,24,24,37,NA,NA,9,"Nigeria","Sub-Saharan Africa",103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,"Nigeria"
"161","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Niger",2.6,136,"NGA","Sub-Saharan Africa",28,1.98,24,31,35,20,22,28,32,NA,NA,26,24,24,37,NA,NA,9,"Nigeria","Sub-Saharan Africa",142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,"Niger"
"162","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Nigeria",13.4,101,"NER","Sub-Saharan Africa",35,3.25,29,40,35,NA,34,36,44,NA,NA,NA,24,NA,NA,NA,NA,5,"Niger","Sub-Saharan Africa",103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,"Nigeria"
"163","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Nigeria",13.4,101,"NER","Sub-Saharan Africa",35,3.25,29,40,35,NA,34,36,44,NA,NA,NA,24,NA,NA,NA,NA,5,"Niger","Sub-Saharan Africa",142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,"Niger"
"164","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Nigeria",13.4,136,"NGA","Sub-Saharan Africa",28,1.98,24,31,35,20,22,28,32,NA,NA,26,24,24,37,NA,NA,9,"Nigeria","Sub-Saharan Africa",103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,"Nigeria"
"165","SUB-SAHARAN AFRICA                 ",131859731,923768,"142,7","0,09","0,26","98,8",900,"68,0","9,3","31,29","2,96","65,75","1,5","40,43","16,94","0,269","0,487","0,244","Nigeria ","Nigeria",13.4,136,"NGA","Sub-Saharan Africa",28,1.98,24,31,35,20,22,28,32,NA,NA,26,24,24,37,NA,NA,9,"Nigeria","Sub-Saharan Africa",142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,"Niger"
"166","OCEANIA                            ",82459,477,"172,9","310,69","9,61","7,11",12500,"97,0","254,7","13,04","4,35","82,61","2","19,43","2,29","","","","N. Mariana Islands ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","WESTERN EUROPE                     ",4610820,323802,"14,2","7,77","1,74","3,7",37800,"100,0","461,7","2,87","0","97,13","3","11,46","9,4","0,021","0,415","0,564","Norway ","Norway",4,6,"NOR","Europe and Central Asia",85,1.85,82,88,NA,80,83,NA,NA,83,80,84,93,NA,90,NA,NA,7,"Norway","Western Europe",4,7.498,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,"Norway"
"168","NEAR EAST                          ",3102229,212460,"14,6","0,98","0,28","19,51",13100,"75,8","85,5","0","0,14","99,74","1","36,24","3,81","0,027","0,39","0,583","Oman ","Oman",15,64,"OMN","Middle East and North Africa",45,7.07,33,56,NA,67,47,24,NA,NA,NA,NA,50,NA,37,NA,NA,5,"Oman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","ASIA (EX. NEAR EAST)         ",165803560,803940,"206,2","0,13","-2,77","72,44",2100,"45,7","31,8","27,87","0,87","71,26","1","29,74","8,23","0,216","0,251","0,533","Pakistan ","Pakistan",6,116,"PAK","Asia Pacific",32,2.12,28,35,35,29,34,20,NA,NA,NA,32,32,NA,37,NA,NA,7,"Pakistan","Southern Asia",92,5.132,5.038,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,"Pakistan"
"170","OCEANIA                            ",20579,458,"44,9","331,66","2,85","14,84",9000,"92,0","325,6","8,7","4,35","86,95","2","18,03","6,8","0,062","0,12","0,818","Palau ","Palau",1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","LATIN AMER. & CARIB    ",3191319,78200,"40,8","3,18","-0,91","20,47",6300,"92,6","137,9","7,36","1,98","90,66","2","21,74","5,36","0,068","0,156","0,776","Panama ","Panama",5.5,87,"PAN","Americas",38,2.29,34,42,NA,43,47,36,NA,NA,NA,33,32,NA,37,NA,NA,6,"Panama","Latin America and Caribbean",25,6.701,6.601,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,"Panama"
"172","OCEANIA                            ",5670544,462840,"12,3","1,11","0","51,45",2200,"64,6","10,9","0,46","1,44","98,1","2","29,36","7,25","0,353","0,381","0,266","Papua New Guinea ","Papua New Guinea",2.5,136,"PNG","Asia Pacific",28,3.01,23,32,35,NA,22,28,NA,NA,NA,NA,32,NA,19,NA,NA,5,"Papua New Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"173","OCEANIA                            ",5670544,462840,"12,3","1,11","0","51,45",2200,"64,6","10,9","0,46","1,44","98,1","2","29,36","7,25","0,353","0,381","0,266","Papua New Guinea ","Papua New Guinea",2.5,142,"GIN","Sub-Saharan Africa",27,2.54,22,31,24,NA,22,36,26,NA,NA,NA,24,NA,NA,NA,NA,5,"Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"174","OCEANIA                            ",5670544,462840,"12,3","1,11","0","51,45",2200,"64,6","10,9","0,46","1,44","98,1","2","29,36","7,25","0,353","0,381","0,266","Papua New Guinea ","Guinea",2.8,136,"PNG","Asia Pacific",28,3.01,23,32,35,NA,22,28,NA,NA,NA,NA,32,NA,19,NA,NA,5,"Papua New Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"175","OCEANIA                            ",5670544,462840,"12,3","1,11","0","51,45",2200,"64,6","10,9","0,46","1,44","98,1","2","29,36","7,25","0,353","0,381","0,266","Papua New Guinea ","Guinea",2.8,142,"GIN","Sub-Saharan Africa",27,2.54,22,31,24,NA,22,36,26,NA,NA,NA,24,NA,NA,NA,NA,5,"Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"176","LATIN AMER. & CARIB    ",6506464,406750,"16,0","0,00","-0,08","25,63",4700,"94,0","49,2","7,6","0,23","92,17","2","29,1","4,49","0,224","0,207","0,569","Paraguay ","Paraguay",6.5,123,"PRY","Americas",30,2.68,25,34,NA,23,22,36,NA,NA,NA,NA,32,27,37,NA,NA,6,"Paraguay","Latin America and Caribbean",70,5.538,5.453,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,"Paraguay"
"177","LATIN AMER. & CARIB    ",28302603,1285220,"22,0","0,19","-1,05","31,94",5100,"90,9","79,5","2,89","0,4","96,71","1,5","20,48","6,23","0,08","0,27","0,65","Peru ","Peru",6.7,101,"PER","Americas",35,2.04,32,39,NA,39,34,45,NA,29,NA,30,34,NA,37,NA,NA,7,"Peru","Latin America and Caribbean",64,5.743,5.647,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,"Peru"
"178","ASIA (EX. NEAR EAST)         ",89468677,300000,"298,2","12,10","-1,5","23,51",4600,"92,6","38,4","18,95","16,77","64,28","2","24,89","5,41","0,144","0,326","0,53","Philippines ","Philippines",6,101,"PHL","Asia Pacific",35,1.58,33,38,NA,29,34,36,NA,31,NA,31,41,36,37,NA,43,9,"Philippines","Southeastern Asia",82,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,"Philippines"
"179","EASTERN EUROPE                     ",38536869,312685,"123,3","0,16","-0,49","8,51",11100,"99,8","306,3","45,91","1,12","52,97","3","9,85","9,89","0,05","0,311","0,64","Poland ","Poland",4.8,29,"POL","Europe and Central Asia",62,1.77,59,65,NA,56,59,69,NA,60,71,66,58,66,54,59,NA,10,"Poland","Central and Eastern Europe",57,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,"Poland"
"180","WESTERN EUROPE                     ",10605870,92391,"114,8","1,94","3,57","5,05",18000,"93,3","399,2","21,75","7,81","70,44","3","10,72","10,5","0,053","0,274","0,673","Portugal ","Portugal",9.7,29,"PRT","Europe and Central Asia",62,2.58,58,66,NA,59,59,NA,NA,51,71,68,67,67,54,NA,NA,8,"Portugal","Western Europe",94,5.123,5.03,5.216,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,"Portugal"
"181","LATIN AMER. & CARIB    ",3927188,13790,"284,8","3,63","-1,46","8,24",16800,"94,1","283,1","3,95","5,52","90,53","2","12,77","7,65","0,01","0,45","0,54","Puerto Rico ","Puerto Rico",11.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Latin America and Caribbean",15,7.039,6.794,7.284,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,3.0076,"Puerto Rico"
"182","NEAR EAST                          ",885359,11437,"77,4","4,92","16,29","18,61",21500,"82,5","232,0","1,64","0,27","98,09","1","15,56","4,72","0,002","0,801","0,197","Qatar ","Qatar",0.6,31,"QAT","Middle East and North Africa",61,7.02,49,72,NA,82,47,40,NA,80,NA,NA,67,39,72,NA,NA,7,"Qatar","Middle East and Northern Africa",36,6.375,6.178,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.58224,"Qatar"
"183","SUB-SAHARAN AFRICA                 ",787584,2517,"312,9","8,22","0","7,78",5800,"88,9","380,9","13,6","1,2","85,2","2","18,9","5,49","0,08","0,19","0,73","Reunion ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","EASTERN EUROPE                     ",22303552,237500,"93,9","0,09","-0,13","26,43",7000,"98,4","196,9","40,82","2,25","56,93","3","10,7","11,77","0,101","0,35","0,549","Romania ","Romania",5.3,57,"ROM","Europe and Central Asia",48,3,43,53,NA,37,59,61,NA,37,52,49,41,52,37,57,NA,10,"Romania","Central and Eastern Europe",71,5.528,5.427,5.629,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,2.45184,"Romania"
"185","C.W. OF IND. STATES ",142893540,17075200,"8,4","0,22","1,02","15,39",8900,"99,6","280,6","7,33","0,11","92,56","","9,95","14,65","0,054","0,371","0,575","Russia ","Russia",5.5,131,"RUS","Europe and Central Asia",29,2.73,24,33,NA,38,34,28,NA,41,NA,32,24,18,19,25,NA,9,"Russia","Central and Eastern Europe",56,5.856,5.789,5.923,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,2.59115,"Russia"
"186","SUB-SAHARAN AFRICA                 ",8648248,26338,"328,4","0,00","0","91,23",1300,"70,4","2,7","40,54","12,16","47,3","3","40,37","16,09","0,401","0,229","0,37","Rwanda ","Rwanda",2.7,50,"RWA","Sub-Saharan Africa",54,5.07,46,62,47,76,59,40,53,NA,NA,NA,NA,49,NA,NA,NA,6,"Rwanda","Sub-Saharan Africa",152,3.515,3.444,3.586,0.32846,0.61586,0.31865,0.5432,0.50521,0.23552,0.96819,"Rwanda"
"187","SUB-SAHARAN AFRICA                 ",7502,413,"18,2","14,53","0","19",2500,"97,0","293,3","12,9","0","87,1","","12,13","6,53","","","","Saint Helena ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","LATIN AMER. & CARIB    ",39129,261,"149,9","51,72","-7,11","14,49",8800,"97,0","638,9","19,44","2,78","77,78","2","18,02","8,33","0,035","0,258","0,707","Saint Kitts & Nevis ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","LATIN AMER. & CARIB    ",168458,616,"273,5","25,65","-2,67","13,53",5400,"67,0","303,3","6,56","22,95","70,49","2","19,68","5,08","0,07","0,2","0,73","Saint Lucia ","Saint Lucia",20,35,"LCA","Americas",60,6.8,49,71,69,NA,47,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,3,"Saint Lucia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","NORTHERN AMERICA                   ",7026,242,"29,0","49,59","-4,86","7,54",6900,"99,0","683,2","13,04","0","86,96","","13,52","6,83","","","","St Pierre & Miquelon ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","LATIN AMER. & CARIB    ",117848,389,"303,0","21,59","-7,64","14,78",2900,"96,0","190,9","17,95","17,95","64,1","2","16,18","5,98","0,1","0,26","0,64","Saint Vincent and the Grenadines ","Saint Vincent and the Grenadines",18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","OCEANIA                            ",176908,2944,"60,1","13,69","-11,7","27,71",5600,"99,7","75,2","21,2","24,38","54,42","2","16,43","6,62","0,114","0,584","0,302","Samoa ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","WESTERN EUROPE                     ",29251,61,"479,5","0,00","10,98","5,73",34600,"96,0","704,3","16,67","0","83,33","","10,02","8,17","","","","San Marino ","San Marino",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","SUB-SAHARAN AFRICA                 ",193413,1001,"193,2","20,88","-2,72","43,11",1200,"79,3","36,2","6,25","48,96","44,79","2","40,25","6,47","0,167","0,148","0,684","Sao Tome & Principe ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","NEAR EAST                          ",27019731,1960582,"13,8","0,13","-2,71","13,24",11800,"78,8","140,6","1,67","0,09","98,24","1","29,34","2,58","0,033","0,613","0,354","Saudi Arabia ","Saudi Arabia",5.6,62,"SAU","Middle East and North Africa",46,7.54,33,58,NA,66,22,36,NA,NA,NA,NA,50,NA,54,NA,NA,5,"Saudi Arabia","Middle East and Northern Africa",34,6.379,6.287,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,"Saudi Arabia"
"196","SUB-SAHARAN AFRICA                 ",11987121,196190,"61,1","0,27","0,2","55,51",1600,"40,2","22,2","12,78","0,21","87,01","2","32,78","9,42","0,172","0,209","0,619","Senegal ","Senegal",48,64,"SEN","Sub-Saharan Africa",45,2.63,40,49,47,36,47,53,44,NA,NA,43,32,NA,54,NA,NA,8,"Senegal","Sub-Saharan Africa",128,4.219,4.151,4.287,0.44314,0.77416,0.40457,0.31056,0.11681,0.19103,1.97861,"Senegal"
"197","EASTERN EUROPE                     ",9396411,88361,"106,3","0,00","-1,33","12,89",2200,"93,0","285,8","33,35","3,2","63,45","","","","0,166","0,255","0,579","Serbia ","Serbia",16,72,"SCG","Europe and Central Asia",42,3.69,36,48,NA,39,47,57,NA,NA,NA,32,32,NA,37,52,NA,7,"Serbia","Central and Eastern Europe",86,5.177,5.083,5.271,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,"Serbia"
"198","SUB-SAHARAN AFRICA                 ",81541,455,"179,2","107,91","-5,69","15,53",7800,"58,0","262,4","2,22","13,33","84,45","2","16,03","6,29","0,032","0,304","0,665","Seychelles ","Seychelles",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","SUB-SAHARAN AFRICA                 ",6005250,71740,"83,7","0,56","0","143,64",500,"31,4","4,0","6,98","0,89","92,13","2","45,76","23,03","0,49","0,31","0,21","Sierra Leone ","Sierra Leone",9.1,123,"SLE","Sub-Saharan Africa",30,2.94,25,35,35,19,34,40,35,NA,NA,23,32,NA,19,NA,NA,8,"Sierra Leone","Sub-Saharan Africa",111,4.635,4.505,4.765,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,"Sierra Leone"
"200","ASIA (EX. NEAR EAST)         ",4492150,693,"6482,2","27,85","11,53","2,29",23700,"92,5","411,4","1,64","0","98,36","2","9,34","4,28","0","0,339","0,661","Singapore ","Singapore",2.2,7,"SGP","Asia Pacific",84,2.35,81,88,NA,88,83,73,NA,91,NA,85,76,NA,90,NA,89,8,"Singapore","Southeastern Asia",22,6.739,6.674,6.804,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,"Singapore"
"201","EASTERN EUROPE                     ",5439448,48845,"111,4","0,00","0,3","7,41",13300,"","220,1","30,16","2,62","67,22","3","10,65","9,45","0,035","0,294","0,672","Slovakia ","Slovakia",8.1,54,"SVK","Europe and Central Asia",51,3.09,46,57,NA,34,59,61,NA,45,52,NA,50,NA,54,57,NA,8,"Slovakia","Central and Eastern Europe",45,6.078,5.996,6.16,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,2.61065,"Slovakia"
"202","EASTERN EUROPE                     ",2010347,20273,"99,2","0,23","1,12","4,45",19000,"99,7","406,1","8,6","1,49","89,91","","8,98","10,31","0,028","0,369","0,603","Slovenia ","Slovenia",6.8,31,"SVN","Europe and Central Asia",61,2.44,57,65,NA,58,71,65,NA,46,61,59,58,67,54,70,NA,10,"Slovenia","Central and Eastern Europe",63,5.768,5.683,5.853,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,1.79522,"Slovenia"
"203","OCEANIA                            ",552438,28450,"19,4","18,67","0","21,29",1700,"","13,4","0,64","2","97,36","2","30,01","3,92","0,42","0,11","0,47","Solomon Islands ",NA,NA,72,"SLB","Asia Pacific",42,3.34,36,47,35,NA,47,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,3,"Solomon Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"204","SUB-SAHARAN AFRICA                 ",8863338,637657,"13,9","0,47","5,37","116,7",500,"37,8","11,3","1,67","0,04","98,29","1","45,13","16,63","0,65","0,1","0,25","Somalia ",NA,NA,176,"SOM","Sub-Saharan Africa",10,2.98,5,15,NA,NA,10,8,0,NA,NA,NA,15,17,NA,NA,NA,5,"Somalia","Sub-Saharan Africa",76,5.44,5.321,5.559,0,0.33613,0.11466,0.56778,0.3118,0.27225,3.83772,"Somalia"
"205","SUB-SAHARAN AFRICA                 ",44187637,1219912,"36,2","0,23","-0,29","61,81",10700,"86,4","107,0","12,08","0,79","87,13","1","18,2","22","0,025","0,303","0,671","South Africa ","South Africa",27.6,64,"ZAF","Sub-Saharan Africa",45,2.55,41,49,NA,49,47,45,NA,33,NA,47,41,NA,54,NA,NA,7,"South Africa","Sub-Saharan Africa",116,4.459,4.371,4.547,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,"South Africa"
"206","WESTERN EUROPE                     ",40397842,504782,"80,0","0,98","0,99","4,42",22000,"97,9","453,5","26,07","9,87","64,06","3","10,06","9,72","0,04","0,295","0,665","Spain ","Spain",17.1,41,"ESP","Europe and Central Asia",58,4.09,51,65,NA,51,59,NA,NA,38,61,65,58,NA,72,NA,NA,7,"Spain","Western Europe",37,6.361,6.288,6.434,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,2.39663,"Spain"
