"","Region.x","Population","Area..sq..mi..","Pop..Density..per.sq..mi..","Coastline..coast.area.ratio.","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Arable....","Crops....","Other....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","country.x","country.y","unemployment_percentage","CPI.Rank","Country.Code","Region.y","Corruption.Perceptions.Index..CPI.","Standard.Error","Lower.Confidence.Interval.x","Upper.Confidence.Interval.x","World.Bank.CPIA","World.Economic.Forum.EOS","Global.Insight.Country.Risk.Ratings","Bertelsmann.Foundation.Transformation.Index","African.Development.Bank.CPIA","IMD.World.Competitiveness.Yearbook","Bertelsmann.Foundation.Sustainable.Governance.Index","World.Justice.Project.Rule.of.Law.Index","PRS.International.Country.Risk.Guide","Varities.of.Democracy.Project","Economist.Intelligence.Unit.Country.Ratings","Freedom.House.Nations.in.Transit.Ratings","PERC.Asia.Risk.Guide","Sources","country.x1","Region","Happiness.Rank","Happiness.Score","Lower.Confidence.Interval.y","Upper.Confidence.Interval.y","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","country.y1"
"63","LATIN AMER. & CARIB    ",13547510,283560,"47,8","0,79","-8,58","23,66",3300,"92,5","125,6","5,85","4,93","89,22","2","22,29","4,23","0,07","0,312","0,618","Ecuador ","Ecuador",5.1,120,"ECU","Americas",31,1.96,28,35,NA,33,22,32,NA,NA,NA,32,32,NA,37,NA,NA,6,"Ecuador","Latin America and Caribbean",51,5.976,5.88,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,"Ecuador"
"64","NORTHERN AFRICA                    ",78887007,1001450,"78,8","0,24","-0,22","32,59",4000,"57,7","131,8","2,87","0,48","96,65","1","22,94","5,23","0,149","0,357","0,493","Egypt ","Egypt",12.2,108,"EGY","Middle East and North Africa",34,2.72,29,38,NA,42,22,32,NA,NA,NA,37,32,NA,37,NA,NA,6,"Egypt","Middle East and Northern Africa",120,4.362,4.259,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,"Egypt"
"65","LATIN AMER. & CARIB    ",6822378,21040,"324,3","1,46","-3,74","25,1",4800,"80,2","142,4","31,85","12,07","56,08","2","26,61","5,78","0,099","0,302","0,599","El Salvador ","El Salvador",7,95,"SLV","Americas",36,2.76,31,40,NA,32,22,45,NA,NA,NA,34,41,40,37,NA,NA,7,"El Salvador","Latin America and Caribbean",46,6.068,5.967,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,"El Salvador"
"66","SUB-SAHARAN AFRICA                 ",540109,28051,"19,3","1,06","0","85,13",2700,"85,7","18,5","4,63","3,57","91,8","2","35,59","15,06","0,03","0,906","0,062","Equatorial Guinea ","Guinea",2.8,142,"GIN","Sub-Saharan Africa",27,2.54,22,31,24,NA,22,36,26,NA,NA,NA,24,NA,NA,NA,NA,5,"Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"67","SUB-SAHARAN AFRICA                 ",540109,28051,"19,3","1,06","0","85,13",2700,"85,7","18,5","4,63","3,57","91,8","2","35,59","15,06","0,03","0,906","0,062","Equatorial Guinea ","Equatorial Guinea",8.6,142,"GIN","Sub-Saharan Africa",27,2.54,22,31,24,NA,22,36,26,NA,NA,NA,24,NA,NA,NA,NA,5,"Guinea","Sub-Saharan Africa",151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,"Guinea"
"68","SUB-SAHARAN AFRICA                 ",4786994,121320,"39,5","1,84","0","74,87",700,"58,6","7,9","4,95","0,03","95,02","1,5","34,33","9,6","0,102","0,254","0,643","Eritrea ","Eritrea",8.6,164,"ERI","Sub-Saharan Africa",18,6.24,8,28,13,NA,34,12,0,NA,NA,NA,NA,29,NA,NA,NA,5,"Eritrea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","BALTICS                            ",1324333,45226,"29,3","8,39","-3,16","7,87",12300,"99,8","333,8","16,04","0,45","83,51","3","10,04","13,25","0,04","0,294","0,666","Estonia ","Estonia",8.4,22,"EST","Europe and Central Asia",70,2.16,66,73,NA,76,71,73,NA,66,80,70,67,69,54,70,NA,10,"Estonia","Central and Eastern Europe",72,5.517,5.437,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,"Estonia"
"70","SUB-SAHARAN AFRICA                 ",74777981,1127127,"66,3","0,00","0","95,32",700,"42,7","8,2","10,71","0,75","88,54","2","37,98","14,86","0,475","0,099","0,426","Ethiopia ","Ethiopia",17.5,108,"ETH","Sub-Saharan Africa",34,1.37,31,36,35,37,34,24,38,NA,NA,33,32,32,37,NA,NA,9,"Ethiopia","Sub-Saharan Africa",115,4.508,4.425,4.591,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,"Ethiopia"
"71","WESTERN EUROPE                     ",47246,1399,"33,8","79,84","1,41","6,24",22000,"","503,8","2,14","0","97,86","","14,05","8,7","0,27","0,11","0,62","Faroe Islands ","Faroe Islands",2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","OCEANIA                            ",905949,18270,"49,6","6,18","-3,14","12,62",5800,"93,7","112,6","10,95","4,65","84,4","2","22,55","5,65","0,089","0,135","0,776","Fiji ","Fiji",5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","WESTERN EUROPE                     ",5231372,338145,"15,5","0,37","0,95","3,57",27400,"100,0","405,3","7,19","0,03","92,78","3","10,45","9,86","0,028","0,295","0,676","Finland ","Finland",8.7,3,"FIN","Europe and Central Asia",89,1.46,87,92,NA,91,83,NA,NA,94,90,85,93,NA,90,NA,NA,7,"Finland","Western Europe",5,7.413,7.351,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,"Finland"
"74","WESTERN EUROPE                     ",60876136,547030,"111,3","0,63","0,66","4,26",27600,"99,0","586,4","33,53","2,07","64,4","4","11,99","9,14","0,022","0,214","0,764","France ","France",9.5,23,"FRA","Europe and Central Asia",69,2.97,64,74,NA,69,71,NA,NA,73,52,69,76,NA,72,NA,NA,7,"France","Western Europe",32,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,"France"
"75","LATIN AMER. & CARIB    ",199509,91000,"2,2","0,42","6,27","12,07",8300,"83,0","255,6","0,14","0,05","99,81","2","20,46","4,88","0,066","0,156","0,778","French Guiana ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","OCEANIA                            ",274578,4167,"65,9","60,60","2,94","8,44",17500,"98,0","194,5","0,82","5,46","93,72","2","16,68","4,69","0,031","0,19","0,769","French Polynesia ","French Polynesia",21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","SUB-SAHARAN AFRICA                 ",1424906,267667,"5,3","0,33","0","53,64",5500,"63,2","27,4","1,26","0,66","98,08","2","36,16","12,25","0,061","0,592","0,348","Gabon ","Gabon",28,101,"GAB","Sub-Saharan Africa",35,0.97,33,36,NA,36,34,NA,NA,NA,NA,NA,32,NA,37,NA,NA,4,"Gabon","Sub-Saharan Africa",134,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,"Gabon"
"78","SUB-SAHARAN AFRICA                 ",1641564,11300,"145,3","0,71","1,57","72,02",1700,"40,1","26,8","25","0,5","74,5","2","39,37","12,25","0,308","0,142","0,549","Gambia, The ",NA,NA,145,"GMB","Sub-Saharan Africa",26,7.2,14,38,13,44,34,NA,5,NA,NA,NA,32,NA,NA,NA,NA,5,"Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","NEAR EAST                          ",1428757,360,"3968,8","11,11","1,6","22,93",600,"","244,3","28,95","21,05","50","3","39,45","3,8","0,03","0,283","0,687","Gaza Strip ","Gaza Strip",26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
